TIME 24 HOURS,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,year,hour,is_peak_hour
645,MOMBASA,UKUNDA LIKONI,MANYATTA AREA,THE CYCLE LOST CONTROL AND FELL DOWN,F,3 MONTHS,10.0,P/PASSENGER,1,2016-04-12,2016,6.0,1
1350,NAIROBI,MAX ROAD,MBUTHIA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,6,64.0,PEDESTRIAN,1,2016-04-12,2016,13.0,0
2140,MURANG'A,KENOL SAGANA,NEAR MURANGA TEACHERS COLLEGE,THE TRAILER FELL DOWN AND LANDED ON THE SALOON CAR,2M & 3F,"39,30,40,33, & 30",98.0,PASSENGER,5,2016-04-12,2016,21.0,0
1630,NAKURU,NAIROBI NAKURU,KCC,THE CYCLE HIT THE GUARD RAIL OF THE TRAILER AND FELL DOWN,M,A,10.0,M/CYCLIST,1,2016-04-11,2016,16.0,0
2000,NAIROBI,MOMBASA,VISION PLAZA,HIT AND RUN,M,A,98.0,PEDESTRIAN,1,2016-04-11,2016,20.0,0
2300,MAKUENI,NAIROBI MOMBASA,MLIMA MAZIWA,THE VEHICLE ROLLED SEVERAL TIMES,M,A,98.0,PASSENGER,1,2016-04-11,2016,23.0,0
1015,NAROK,NAROK MAIMAHIU,NEAR SUSWA,THE VEHICLE LOST CONTROL AND OVERTURNED,M,26,26.0,PASSENGER,1,2016-04-10,2016,10.0,0
1140,MAKUENI,MOMBASA NAIROBI,KAMBU AREA,THE VEHICLE RAMMED INTO THE TRAILER,M,40,29.0,DRIVER,1,2016-04-10,2016,11.0,0
1105,BUNGOMA,BUNGOMA MUMIAS,KABULA AREA,THE VEHICLE HIT THE M/CYCLIST,M,A,36.0,M/CYCLIST,1,2016-04-10,2016,11.0,0
1105,BUNGOMA,BUNGOMA MUMIAS,KABULA AREA,THE VEHICLE HIT THE M/CYCLIST,M,A,36.0,P/PASSENGER,1,2016-04-10,2016,11.0,0
100,NAIROBI,MOMBASA,AIRPORT FLY OVER,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM,M,A,26.0,PEDESTRIAN,1,2016-04-10,2016,1.0,0
1400,NYAHURURU,NYERI NYAHURURU,MAIRO INYA AREA,HEAD ON COLLISION,M,23,10.0,M/CYCLIST,1,2016-04-10,2016,14.0,0
1945,GARISSA,GARISSA MWINGI,FRONTIER JUNCTION,THE CYCLE LOST CONTROL AND THE VICTIM FELL DOWN,M,32,21.0,M/CYCLIST,1,2016-04-10,2016,19.0,1
1955,NAROK,NAROK MULOT,NAROK TOEN,HIT AND RUN,M,30,61.0,PEDESTRIAN,1,2016-04-10,2016,19.0,1
2030,HOMA BAY,OYUGIS KISUMU,MIGAI AREA,HIT AND RUN,M,30,98.0,M/CYCLIST,1,2016-04-10,2016,20.0,0
2000,BARINGO,KITALE ELDORET,MUSALABA YELLOW AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,40,68.0,PEDESTRIAN,1,2016-04-10,2016,20.0,0
1000,KIAMBU,ONDIRE KIKUYU,KWAMATHERA AREA,HIT AND RUN,M,25,86.0,M/CYCLIST,1,2016-04-10,2016,10.0,0
2100,BUNGOMA,BUNGOMA WEBUYE,MWABANGA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,47.0,PEDESTRIAN,1,2016-04-10,2016,21.0,0
530,NAIROBI,EASTERN BY PASS,UTAWALA VILLAGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2016-04-09,2016,5.0,0
600,KITUI,KITUI MACHAKOS,TIVA BRIDGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,25,63.0,PEDESTRIAN,1,2016-04-09,2016,6.0,1
940,NAIROBI,RACE COURSE ROAD,RONALD NGALA JUNCTION,THE VEHICLE RAMMED INTO THE REAR OF THE HAND CART PUSHER,M,A,98.0,M/CYCLIST,1,2016-04-09,2016,9.0,1
915,MAKUENI,NAIROBI MOMBASA,MBUI NZAU MARKET,HEAD ON COLLISION,M,A,10.0,DRIVER,1,2016-04-09,2016,9.0,1
915,MAKUENI,NAIROBI MOMBASA,MBUI NZAU MARKET,HEAD ON COLLISION,M,A,10.0,PASSENGER,3,2016-04-09,2016,9.0,1
904,BUNGOMA,BUNGOMA MUMIAS,KEMIGET AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,39,29.0,PEDESTRIAN,1,2016-04-09,2016,9.0,1
1240,NAIROBI,THIKA SUPERHIGHWAY,GOSHEN FLY OVER,THE VEHICLE HIT THE M/CYCLIST,M,A,11.0,M/CYCLIST,1,2016-04-09,2016,12.0,0
1100,MERU,MAUA MERU,KIRINYAGA TRADING CENTRE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,42,79.0,PEDESTRIAN,1,2016-04-09,2016,11.0,0
1430,TRANS NZOIA,KITALE ELDORET,MAILI SABA AREA,HEAD ON COLLISION,M,21,8.0,M/CYCLIST,1,2016-04-09,2016,14.0,0
1500,NAIROBI,MOMBASA ROAD,NEAR VISION PLAZA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2016-04-09,2016,15.0,0
1750,KILIFI,NAIROBI MOMBASA,MARIAKANI TOWNSHIP,THE VEHICLE HIT THE M/CYCLIST,M,A,26.0,M/CYCLIST,1,2016-04-09,2016,17.0,1
1750,KILIFI,NAIROBI MOMBASA,MARIAKANI TOWNSHIP,THE VEHICLE HIT THE M/CYCLIST,M,A,26.0,P/PASSENGER,1,2016-04-09,2016,17.0,1
1730,BOMET,LITEIN SOTIK,DARAJA SITA AREA,THE CYCLE RAMMED INTO THE REAR OF THE LORRY,M,A,10.0,M/CYCLIST,1,2016-04-09,2016,17.0,1
1845,MOMBASA,MOMBASA MALINDI,MSHOMORONI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,8.0,P/CYCLIST,1,2016-04-09,2016,18.0,1
2000,KISUMU,KISUMU NAIROBI,WELLS PETROL STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,F,26,68.0,PEDESTRIAN,1,2016-04-09,2016,20.0,0
2100,KILIFI,MOMBASA NAIROBI,KIZURINI AREA,HIT AND RUN,F,A,8.0,P/PASSENGER,1,2016-04-09,2016,21.0,0
2230,NAIROBI,MOMBASA ROAD,NEAR AIRPORT JUNCTION,HIT AND RUN,M,32,7.0,PEDESTRIAN,1,2016-04-09,2016,22.0,0
1800,KISII,KISII MARANI,KEGOGI AREA,HEAD ON COLLISION,M,A,98.0,P/PASSENGER,1,2016-04-09,2016,18.0,1
2330,KIAMBU,THIKA SUPERHIGHWAY,NEAR JUJA POLICE STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,F,16,17.0,PEDESTRIAN,1,2016-04-09,2016,23.0,0
1430,BUSIA,KISUMU BUSIA,MULEMBE,THE CYCLE WAS HIT FROM THE REAR BY THE VEHICLE,M,31,19.0,M/CYCLIST,1,2016-04-08,2016,14.0,0
1600,MOMBASA,AIRPORT,APOLO,THE VEHICLE KNOCKED DOWN THE VICTIM,M,35,16.0,PEDESTRIAN,1,2016-04-08,2016,16.0,0
2205,UNKNOWN,KINAMBA,NGARUA,THE VEHICLE OVERTURNED KILLING 6 VICTIMS,4F & INF,A,26.0,PASSENGER,6,2016-04-08,2016,22.0,0
2025,KITUI,KITUI MACHAKOS,KALANDINI,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND ROLLED SEVERAL TIMES,M,8,26.0,PASSENGER,1,2016-04-08,2016,20.0,0
2142,UNKNOWN,NJAMBINI OLKALAO,KAMAGUTA,THE VEHICLE HIT A PEDAL CYCLIST,M,33,98.0,P/CYCLIST,1,2016-04-08,2016,21.0,0
1030,KIAMBU,NAIROBI NAIVASHA,NGARARIGA STAGE,HIT AND RUN,F,A,22.0,P/PASSENGER,1,2016-04-08,2016,10.0,0
2100,NAKURU,KENYATTA,GUEST INN BAR,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2016-04-08,2016,21.0,0
1800,NAIROBI,FOREST LIMURU,INTERCHANGE,THE CYCLE WAS HIT FROM THE REAR BY THE VEHICLE,M,30,7.0,M/CYCLIST,1,2016-04-08,2016,18.0,1
1,NAIROBI,EATLEIGH,FIRST AVENUE,HIT AND RUN,M,30,98.0,PEDESTRIAN,1,2016-04-08,2016,0.0,0
2330,NYERI,NYERI NYAHURURU,SOLIO RANCH,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,61.0,PEDESTRIAN,1,2016-04-08,2016,23.0,0
140,NAKURU,MOGOTIO NAKURU,OLE POLES,THE VEHICLE GOT A TYRE BURST AND LOST CONTROL HITTING A TREE,M,A,79.0,PASSENGER,1,2016-04-08,2016,1.0,0
745,MAKUENI,MOMBASA NAIROBI,TSAVO RIVER AREA,HEAD ON COLLISION,M,29 & 32,11.0,DRIVER,1,2016-04-07,2016,7.0,1
745,MAKUENI,MOMBASA NAIROBI,TSAVO RIVER AREA,HEAD ON COLLISION,M,29 & 32,11.0,PASSENGER,1,2016-04-07,2016,7.0,1
1200,KERICHO,KERICHO,CHEMOSIT,THE CYCLE KNOCKED DOWN THE VICTIM,M,9,29.0,PEDESTRIAN,1,2016-04-07,2016,12.0,0
1820,BUNGOMA,BUNGOMA MALABA,NANGENI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,5,60.0,PEDESTRIAN,1,2016-04-07,2016,18.0,1
1100,MACHAKOS,NAIROBI MOMBASA,KONZA CENTRE,HEAD ON COLLISION WITH AN ONCOMING VEHICLE,M,A,1.0,DRIVER,1,2016-04-07,2016,11.0,0
1245,KILIFI,KILIFI MOMBASA,MBOGOLO AREA,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM,M,40,26.0,PEDESTRIAN,1,2016-04-06,2016,12.0,0
200,UASIN GISHU,ELDORET NAKURU,JOGOO TRADING CENTRE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,63.0,PEDESTRIAN,1,2016-04-06,2016,2.0,0
1645,KISUMU,KENDU BAY KATITU,NYAKWERE AREA,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND HIT THE M/CYCLE,M,23,98.0,M/CYCLIST,1,2016-04-06,2016,16.0,0
1930,NAIROBI,JUJA ROAD,NEAR MOI AIR BASE,HIT AND RUN,M,A,68.0,PEDESTRIAN,1,2016-04-06,2016,19.0,1
2030,EMBU,EMBU MERU,GAKWEGORI AREA,HIT AND RUN,M,30,98.0,M/CYCLIST,1,2016-04-06,2016,20.0,0
2100,KIAMBU,GATURA THIKA,CHOMO AREA,HIT AND RUN,M,39,60.0,PEDESTRIAN,1,2016-04-06,2016,21.0,0
1700,KAJIADO,KANDIZI OLE KASAFI,KANDIZI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,4,63.0,PEDESTRIAN,1,2016-04-06,2016,17.0,1
2330,MAKUENI,MOMBASA NAIROBI,NEAR AP SENIOR TRAINING COLLEGE,THE MOTOR CYCLE RAMMED INTO THE REAR OF THE TRAILER,M,52,98.0,M/CYCLIST,1,2016-04-06,2016,23.0,0
200,KIAMBU,RIURU LIMURU,MEMBLY AREA,HEAD ON COLLISION,M,A,22.0,DRIVER,1,2016-04-06,2016,2.0,0
730,MARAKWET,ITEN KABARNET,KERIO KABARNET,THE VEHICLE KNOCKED DOWN THE VICTIM,M,12,7.0,PEDESTRIAN,1,2016-04-05,2016,7.0,1
2330,KIAMBU,NAIVASHA NAIROBI HIGHWAY,REGGEN AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,30,68.0,PEDESTRIAN,1,2016-04-05,2016,23.0,0
530,NAIROBI,NGONG ROAD,NEAR KENOL PETROL STATION,THE CYCLE HIT A PAVEMENT AND FELL DOWN,M,28,54.0,M/CYCLIST,1,2016-04-04,2016,5.0,0
1900,SIAYA,SIAYA LUANDA,SIGANA AREA,HEAD ON COLLISION WITH A PEDAL CYCLIST,M,23,8.0,P/CYCLIST,1,2016-04-04,2016,19.0,1
2350,BOMET,KAPLONG BOMET,KAPKURES AREA,HIT AND RUN,M,27,98.0,PEDESTRIAN,1,2016-04-04,2016,23.0,0
30,NAROK,KISII KILGORIS,KONA CHUMA AREA,THE CYCLE LOST CONTROL VEERED OFF THE ROAD AND LANDED INTO A DITCH,M,25,26.0,M/CYCLIST,1,2016-04-04,2016,0.0,0
310,NAKURU,NAIROBI NAKURU,NYAMATHI AREA,THE VEHICLE,M,J,26.0,PASSENGER,1,2016-04-03,2016,3.0,0
1400,KIAMBU,THIUKA SUPER HIGHWAY,NEAR SEAGULL AREA,THE CYCLE RAMMED INTO THE BUS,M,28,29.0,M/CYCLIST,1,2016-04-03,2016,14.0,0
1730,ELGEYO MARAKWET,ITEN KWA HILDA RESIDENCE,KWA HILDA AREA,THE CYCLE LOST CONTROL AND HIT A PERIMETER WALL,M,28,54.0,M/CYCLIST,1,2016-04-03,2016,17.0,1
2000,KIAMBU,KENOL SAGANA,MAKUYU BOYS SEC,HEAD ON COLLISION WITH AN ONCOMING VEHICLE,F,"22,65 & 9 MONTHS",26.0,PASSENGER,3,2016-04-03,2016,20.0,0
45,NAIROBI,HAILE SELASIE,TECHNICAL UNIVERSITY,HIT AND RUN,M,21,7.0,PEDESTRIAN,1,2016-04-03,2016,0.0,0
240,NAIROBI,KANGUNDO ROAD,NEAR CALTEX,THE LORRY RAMMED INTO THE REAR P/UP,M,A,29.0,DRIVER,1,2016-04-02,2016,2.0,0
715,KIAMBU,THIKA SUPERHIGHWAY,KU DRIFT,THE CANTER RAMMED INTO THE REAR SALOON CAR,M,23,29.0,DRIVER,1,2016-04-02,2016,7.0,1
800,NYERI,NYERI OTHAYA,NGURA BRIDGE,THE VEHICLE LOST CONTROL AND PLUGGED INTO THE RIVER,M,A,,PASSENGER,1,2016-04-02,2016,8.0,1
1600,NAKURU,ELDORET NAKURU,NEAR MAKUTANO T/CENTRE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,18,63.0,PEDESTRIAN,1,2016-04-02,2016,16.0,0
1830,KIAMBU,THIKA NAIROBI,BLUE POST,THE VEHICLE KNOCKED DOWN THE P/CYCLIST,M,54,52.0,P/CYCLIST,1,2016-04-02,2016,18.0,1
1945,NAIROBI,WAIYAKI WAY,NEAR KANGEMI STAGE,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,63,98.0,PEDESTRIAN,1,2016-04-02,2016,19.0,1
2030,KIAMBU,NDUMBERI KANNGA,KARATINA,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,F,10,11.0,PEDESTRIAN,1,2016-04-02,2016,20.0,0
2215,NAIROBI,HESHIMA,NEAR PCEA BAHATI,THE VEHICLE KNOCKED DOWN THE VICTIM WHILE CROSSING THE ROAD,M,45,63.0,PEDESTRIAN,1,2016-04-02,2016,22.0,0
2100,HOMA BAY,KATITU KENDU BAY,NEAR KENDU BAY TRADING CENTRE,THE VEHICLE KNOCKED DOWN THE P/CYCLIST,M,55,38.0,P/CYCLIST,1,2016-04-02,2016,21.0,0
1230,TRANS NZOIA,KITALE ELDORET,MAILI SABA TRADING CENTRE,THE VICTIM JUMPED OFF FROM A MOVING VEHICLE,M,25,71.0,PASSENGER,1,2016-04-01,2016,12.0,0
100,NYERI,NYERI NANYUKI,TIGITHU AREA,THE MATATU KNOCKED DOWN THE M/CYCLIST,M,60,9.0,M/CYCLIST,1,2016-04-01,2016,1.0,0
700,MOMBASA,MOMBASA NAIROBI,BANGLADESH,HEAD ON COLLISION,M,24,11.0,DRIVER,1,2016-04-01,2016,7.0,1
1515,NYANDARUA,NJABINI OLKALAU,MUNYAKA AREA,THE MATATU ROLLED SEVERAL TIMES,F,A,79.0,PASSENGER,2,2016-04-01,2016,15.0,0
2110,KIAMBU,THIKA SUPERHIGHWAY,NEAR KALIMONI JUNIOR SCHOOL,THE VICTIM WAS KNOCKED DOWN BY THE UNKNOWN M/V,M,A,63.0,PEDESTRIAN,1,2016-04-01,2016,21.0,0
2040,KAJIADO,KAJIADO NAMANGA,NEAR BISIL TOWN,HEAD ON COLLISION,M,A,10.0,M/CYCLIST,1,2016-04-01,2016,20.0,0
2040,KAJIADO,KAJIADO NAMANGA,NEAR BISIL TOWN,HEAD ON COLLISION,M,A,10.0,P/PASSENGER,1,2016-04-01,2016,20.0,0
1830,NAIROBI,SPINE ROAD,NEAR SHUJAA MALL,THE VICTIM TRIED TO ALIGHT WHILE THE VEHICLE WAS IN MOTION,M,A,70.0,PASSENGER,1,2016-04-01,2016,18.0,1
2230,NAIROBI,JOGOO ROAD,NEAR BAMA STAGE,HIT AND RUN,M,A,63.0,PEDESTRIAN,1,2016-04-01,2016,22.0,0
745,KISUMU,NAIROBI-BUSIA,KASAGAM FLY OVER,THE VEHICLE LOST CONTROL AND HIT BARRIER LANDING UNDER THE FLYOVER,F,A,29.0,PASSENGER,1,2017-11-06,2017,7.0,1
1430,NAROK,NAROK-MAU,NAROK TOWN,THE VEHICLE KNOCKED DOWN THE VICTIM,M,80,68.0,PEDESTRIAN,1,2017-11-06,2017,14.0,0
1515,KERICHO,KERICHO-NAKURU,JUBERT AREA,"THE VEHICLE LOST CONTROL,VEERING OFF THE ROAD AND LANDED INTO A DITCH",M,25,26.0,DRIVER,1,2017-11-06,2017,15.0,0
1600,BUNGOMA,BOKOLI-KIMILILI,BITUYU AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,31,7.0,PEDESTRIAN,1,2017-11-06,2017,16.0,0
1747,NAKURU,PIPELINE ELEMENTAITA,PIPELINE AREA,THE VEHICLE HIT THE MOTOR CYCLE,M,23,29.0,M/CYCLIST,1,2017-11-06,2017,17.0,1
1830,KAJIADO,MAGADI ROAD,CHAPCHAP AREA,THE VEHICLE RAMMED INTO THE MOTOR CYCLE,F,30,18.0,P/PASSENGER,1,2017-11-06,2017,18.0,1
1745,NAKURU,LANET-NDUNDORI,KAREMENU CENTER,THE VEHICLE HIT A PEDAL CYCLIST,M,78,8.0,P/CYCLIST,1,2017-11-06,2017,17.0,1
2030,KERICHO,LONDIANI-KERICHO,CHEBOWOR AREA,ISUZU LORRY RAMMED INTO THE LEYLAND LORRY,M,30 & 33,7.0,PASSENGERS,2,2017-11-06,2017,20.0,0
2300,KERICHO,NAKURU-KERICHO,DUKA MOJA AREA,HIT & RUN,M,40,98.0,PEDESTRIAN,1,2017-11-06,2017,23.0,0
1930,KWALE,MOMBASA-VOI,GORA AREA,HEAD ON COLLISION,M,28,39.0,M/CYCLIST,1,2017-11-06,2017,19.0,1
630,NAIROBI,MOMBASA ROAD,NEAR GENERAL MOTORS,HIT & RUN,M,A,98.0,PEDESTRIAN,1,2017-11-05,2017,6.0,1
745,KILIFI,MOMBASA-KILIFI,BONGE AREA,THE VEHICLE LOST CONTROL AND LANDED INTO A DITCH,M,A,26.0,PASSENGER,1,2017-11-05,2017,7.0,1
1030,KISII,KISII-MARANI,EGESA AREA,THE MATATU BRAKES FAILED AND RAMMED INTO THE COROLLA,M,60,78.0,PASSENGER,1,2017-11-05,2017,10.0,0
1330,NYANDARUA,MIHARATI-ENGINEER ROAD,KIANJOGU BRIDGE NEAR MACHINERY AREA,THE VEHICLE LOST CONTROL AND DRIVER WAS THROWN OUT,M,40,26.0,DRIVER,1,2017-11-05,2017,13.0,0
1100,WEST POKOT,KITALE-LODWAR,AT KAMATIRA HILLS,THE BRAKES FAILED AND THE VEHICLE LOST CONTROL,M,A,78.0,PASSENGERS,2,2017-11-05,2017,11.0,0
1730,KAKAMEGA,ELDORET-WEBUYE,AT KLWANDETI BRIDGE,THE VEHICLE LOST CONTROL AND OVERTURNED,M,25,26.0,PEDESTRIAN,1,2017-11-05,2017,17.0,1
2136,MACHAKOS,MOMBASA-NAIROBI,AT SABAKI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98.0,PEDESTRIAN,1,2017-11-05,2017,21.0,0
130,KAJIADO,MAGADI ROAD,NEAR CHAPCHAP AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,40,63.0,PEDESTRIAN,1,2017-11-05,2017,1.0,0
1300,KAKAMEGA,ELUCHE-MUMIAS,ELUCHE,THE TRACTOR HIT A PEDAL CYCLE,M,A,26.0,P/PASSENGER,1,2017-11-02,2017,13.0,0
1730,MACHAKOS,KANYONYO-EMBU,KIYAA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,7.0,PEDESTRIAN,1,2017-11-02,2017,17.0,1
1030,MOMBASA,MOMBASA-NAIROBI,MAGONGO,THE TRACTOR KNOCKED DOWN THE VICTIM,F,40,26.0,PEDESTRIAN,1,2017-11-02,2017,10.0,0
2000,NAROK,NAROK-MAIMAHIU,STIMA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,29.0,PEDESTRIAN,1,2017-11-02,2017,20.0,0
2030,UASIN GISHU,ELDORET-NAKURU,DINDURA,"THE VEHICLE LOST CONTROL, VEERING OFF THE ROAD AND LANDED INTO A DITCH",F,A,26.0,PASSENGER,1,2017-11-02,2017,20.0,0
1940,THARAKA NITHI,EMBU-CHUKA,NAKA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,22,10.0,PEDESTRIAN,1,2017-10-31,2017,19.0,1
1630,MERU,MERU - MAUA,KIANJAI,HIT & RUN,F,A,98.0,PEDESTRIAN,1,2017-10-31,2017,16.0,0
1745,MACHAKOS,NAIROBI-MOMBASA,MLOLONGO,THE PERSON WHO WAS STEALING A RIDE FALL DOWN,M,A,72.0,PASSEGER,1,2017-10-31,2017,17.0,1
1530,MOMBASA,MOMBASA-MALINDI,HONGERA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,8.0,PEDESTRIAN,1,2017-10-31,2017,15.0,0
1300,EMBU,ALONG RUNNYENJES - UGWERI ROAD,GICHICHE MARKET,THE VEHICLE HIT THE MOTOR CYCLE,M,54,10.0,M/CYCLIST,1,2017-10-30,2017,13.0,0
430,NAIROBI,MOMBASA ROAD,AIRPORT TURN OFF,THE T/WISH RAMMED INTO THE TRAILLER WHICH WAS PARKED OFF THE ROAD,M,A,76.0,DRIVER,1,2017-10-30,2017,4.0,0
1630,NYERI,NYERI-KAMAKWA,KAMAKWA CENTER,THE BABAY FALL DOWN THE MOTHER JAMPED OUT OF THE VEHICLE,F,5 MONTHS,70.0,PASSENGER,1,2017-10-29,2017,16.0,0
2025,KIRINYAGA,KERUGOYA-KUTUS,NEAR ST. FRANCIS CHURCH,HEAD ON COLLISION,F,35,39.0,P/PASSENGER,1,2017-10-29,2017,20.0,0
2000,KAKAMEGA,KITALE - ELDORET,NANGILI AREA,THE MOTOR CYCLE GOT FRONT TYRE BURST AND LOST CONTROL AND FALL DOWN,M,38,6.0,M/CYCLIST,1,2017-10-29,2017,20.0,0
2015,BUNGOMA,BUNGOMA-WEBUYE,MABANGA AREA,THE UNKNOWN M/V HIT THE MOTOR CYCLE,M,"32, 40",98.0,P/PASSENGERS,2,2017-10-29,2017,20.0,0
2230,MURANGA,KIRIA-INI-KANGEMA,GAKIRA AREA,THE VEHICLE HIT THE MOTOR CYCLE,M,33,98.0,M/CYCLIST,1,2017-10-29,2017,22.0,0
2030,NAIROBI,WAIYAKI WAY,NEAR NAIROBI SCHOOL,THE MOTOR CYCLE HIT THE BUS,M,A,45.0,M/CYCLIST,1,2017-10-29,2017,20.0,0
2045,KITUI,KITUI-KABATI,KWA CHENZA AREA,THE VEHICLE RAMMED INTO THE MOTOR CYCLE,M,6 MONTHS,29.0,P/PASSENGER,1,2017-10-29,2017,20.0,0
2130,NAIROBI,MOMBASA ROAD,BELLE VIEW AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98.0,PEDESTRIAN,1,2017-10-29,2017,21.0,0
600,NAKURU,NAKURU-GILGIL,STATE HOUSE,THE MOTOR CYCLE LOST CONTROL AND HIT A CULVERT,M,35,26.0,M/CYCLIST,1,2017-10-28,2017,6.0,1
1440,MAKUENI,KITUI-KIBWEZI,SYEMBENI,THE UNKNOWN LORRY HIT THE MOTOR CYCLE,M,A,23.0,M/CYCLIST,1,2017-10-28,2017,14.0,0
1640,NAIROBI,WANGARI MATHAI,OPP MUSEUM,THE LORRY HIT THE MOTOR CYCLE,M,A,8.0,M/CYCLIST,1,2017-10-28,2017,16.0,0
1920,GARISSA,GARISSA-MWINGI,MADOGO,THE LORRY HIT THE MOTOR CYCLE,M,A,8.0,M/CYCLIST,1,2017-10-28,2017,19.0,1
1130,VIHIGA,LUANDA MAJENGO,POLICE STATION GATE,HIT & RUN,M,76,98.0,P/PASSENGER,1,2017-10-28,2017,11.0,0
2030,BOMET,BOMET-LITEN,KAPKOROS,HEAD ON COLLISION,M,A,8.0,M/CYCLIST & P/PASSENGER,2,2017-10-28,2017,20.0,0
1000,NAKURU,ELDORET-NAKURU,BAYETE AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,25,68.0,PEDESTRIAN,1,2017-10-27,2017,10.0,0
1630,KIAMBU,THIKA-MATUU,MAGOGONI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,42,60.0,PEDESTRIAN,1,2017-10-27,2017,16.0,0
1630,NAROK,NAROK-MAIMAHIU,DELLO HILL AREA,HEAD ON COLLISION,M,41,39.0,M/CYCLIST,1,2017-10-27,2017,16.0,0
1920,NAIROBI,DAGORETI ROAD,NEAR HUB SHOPPING MALL,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,29.0,PEDESTRIAN,1,2017-10-27,2017,19.0,1
1200,GARISSA,SOKO NG'OMBE BULA RIGI EARTH ROAD,BULARIGI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,19.0,M/CYCLIST,1,2017-10-23,2017,12.0,0
1200,GARISSA,SOKO NG'OMBE BULA RIGI EARTH ROAD,BULARIGI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,19.0,P/PASSENGER,1,2017-10-23,2017,12.0,0
700,MAKUENI,MBUNBUNI NDUMBI,NDUMBI SHOPPING CENTRE,HIT AND RUN,M,57,98.0,PEDESTRIAN,1,2017-10-23,2017,7.0,1
1330,KITUI,MUTHUE MUTOMO,NEAR MUTUMO PRIMARY SCHOOL,THE VEHICLE KNOCKED DOWN THE VICTIM,M,35,29.0,M/CYCLIST,1,2017-10-23,2017,13.0,0
1330,NAIROBI,BARAKA ROAD,NEAR SUPA LOAF PRIMARY SCHOOL,THE VEHICLE KNOCKED DOWN THE VICTIM,M,58,98.0,PEDESTRIAN,1,2017-10-23,2017,13.0,0
2030,NAKURU,GILGIL NAIVASHA,RAILWAY FLYOVER,HEAD ON COLLISION,M,A,10.0,DRIVER,1,2017-10-23,2017,20.0,0
2000,TAITA TAVETA,NAIROBI MOMBASA ROAD,MANYANI AREA,HEAD ON COLLISION,M,60,29.0,DRIVER,1,2017-10-23,2017,20.0,0
1900,KERICHO,KERICHO LONDIANI,KEDOWA,HIT AND RUN,M,40,98.0,M/CYCLIST,1,2017-10-22,2017,19.0,1
1030,HOMA BAY,RAKWARO,RAKWARO AREA,THE VEHICLE GOT A TYRE BURST AND ROLLED SEVERAL TIMES,F,26,,PASSENGER,1,2017-10-22,2017,10.0,0
1000,MALINDI,WATAMU GEDE,WATAMU,HEAD ON COLLISION,M,A,98.0,M/CYCLIST,1,2017-10-22,2017,10.0,0
1830,NAIROBI,MOYALE,MOYALE LAMU JUNCTION,THE VEHICLE KNOCKED DOWN THE VICTIM,M,35,,PEDESTRIAN,1,2017-10-22,2017,18.0,1
