TIME 24 HOURS,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,year,hour,is_peak_hour
2245,KERCHO,KERICHO NAKURU,AISUKU AREA,HEAD ON COLLISION,M,A,10.0,PASSENGER,1,2016-06-17,2016,22.0,0
2010,KAKAMEGA,MUMIAS KAKAMEGA,MWITOTI AREA,HIT AND RUN,M,"17,43",98.0,PEDESTRIAN,2,2016-06-17,2016,20.0,0
2045,KAKAMEGA,MATUNGU OKALLO MURRAM ROAD,MAKALE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,44.0,M/CYCLIST,1,2016-06-17,2016,20.0,0
645,KAKAMEGA,EKERO EBUHANGA,EBOKOLO,HIT AND RAN,M,26,98.0,PEDESTRIAN,1,2016-06-16,2016,6.0,1
900,HOMA BAY,KENDU BAY-KATITO,BIAFRA,HIT AND RAN,M,A,98.0,PEDESTRIAN,1,2016-06-16,2016,9.0,1
2100,NYERI,NYERI-NANYUKI,NATIONAL OIL PETROL STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,50.0,PEDAL CYCLIST,1,2016-06-16,2016,21.0,0
220,NAROK,NAROK-MAIMAHIU,MALTAURO,THE VEHICLE LOST CONTROL AND LANDED INTO A DITCH,F,A,78.0,PASSENGER,1,2016-06-16,2016,2.0,0
2015,KERICHO,BURET NGOINA,NGOINA JUNCTION,THE PROBOX WAS OVERTAKING UNKNOWN M/V HENCE COLLIDED HEAD ON WITH THE PETROL TANKER,M,A,10.0,7 PASSENGERS 1 DRIVER,8,2016-06-16,2016,20.0,0
930,MOMBASA,MAINLAND-JOMVU,WAYANI AREA,HEAD ON COLLISION,M,19 & 21,26.0,M/CYCLIST & P/PASSENGER,2,2016-06-15,2016,9.0,1
1800,NAIROBI,SOUTHERN BY PASS,CHINESE CONSTRUCTION SITE,THE BUS KNOCKED DOWN THE VICTIM WHO WAS CROSSING THE ROAD,M,30,60.0,PEDESTRIAN,1,2016-06-15,2016,18.0,1
1930,UASIN GISHU,ELDORET -KAPSABET,LESSOS AREA,THE TRACTOR LOST CONTROL AND HIT A PEDESTRIAN,M,28,26.0,PEDESTRIAN,1,2016-06-15,2016,19.0,1
2030,NAKURU,ELEMENTAITA-GACHUMA,KAHURUKO,THE DRIVER FELL DOWN AND WAS RUN OVER BY THE REAR RIGHT WHEEL,M,55,50.0,DRIVER,1,2016-06-15,2016,20.0,0
1210,EMBU,MWEA EMBU,KIMBIMBI,THE VEHICLE KNOCKED DOWN THE VICTIM,M,78,60.0,PEDESTRIAN,1,2016-06-14,2016,12.0,0
900,TAITA TAVETA,NAIROBI MOMBASA,MACKINON,THE VEHICLE KNOCKED DOWN THE VICTIM,F,A,92.0,PEDESTRIAN,1,2016-06-14,2016,9.0,1
1700,KISII,KEROKA SOTIK,RIBUOKA AREA,HEAD ON COLLISION,M,A,7.0,DRIVER,1,2016-06-14,2016,17.0,1
1730,NAKURU,NAKURU GILGIL,GREENSTEAD SCHOOL,THE VEHICLE KNOCKED DOWN THE VICTIM,M,60,60.0,PEDESTRIAN,1,2016-06-14,2016,17.0,1
1830,NAIROBI,NORTH AIRPORT,NEAR NAKUMATT,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,26.0,PEDESTRIAN,1,2016-06-14,2016,18.0,1
100,NAIROBI,SOUTHERN BY PASS,NDUNYU,THE VEHICLE LOST CONTROL AND VEERED OFF THE ROAD,M,30,26.0,DRIVER,1,2016-06-14,2016,1.0,0
2350,KAJIADO,MAGADI KISERIAN,ST.PATRICK,HEAD ON COLLISION,M,32,92.0,M/CYCLIST,1,2016-06-14,2016,23.0,0
1830,NAKURU,NAKURU NAIROBI,MANDERA HOUSE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,26.0,M/CYCLIST,1,2016-06-14,2016,18.0,1
1900,MAKUENI,MOMBASA-NAIROBI,NGAAMA JUNCTION,THE TRAILER RAMMED INTO THE RARE OF THE MOTOR CYCLE,M,A,29.0,M/CYCLIST,1,2016-06-13,2016,19.0,1
2000,NAIROBI,MOMBASA,NEAR GENERAL MOTORS,THE VEHICLE KNOCKED DOWN THE VICTIM WHO WAS CROSSING THE ROAD,M,A,61.0,PEDESTRIAN,1,2016-06-13,2016,20.0,0
2020,KAKAMEGA,SIAYA-LUANDA,GITOMBU AREA,THE MATATU HIT A MOTOR CYCLE,M,A,50.0,M/CYCLIST,1,2016-06-13,2016,20.0,0
1945,KILIFI,MARIAKANI-KALOLENI,MWAMBA NYUNDO AREA,"THE VEHICLE LOST CONTROL, VEERED OFF THE ROAD AND KNOCKED DOWN A PEDESTRIAN WHO WAS WALKING ASIDE THE ROAD",M,A,26.0,PEDESTRIAN,1,2016-06-13,2016,19.0,1
630,NAIROBI,KANGUNDO,NEAR MOWLEMROAD JUNCTION,THE CYCLE LOST CONTROL AND FELL DOWN,M,21,54.0,M/CYCLIST,1,2016-06-12,2016,6.0,1
1215,UASIN GISHU,NAKURU ELDORET,AT ANNEX,THE VEHICLE KNOCKED DOWN THE VICTIM,F,35,25.0,P/PASSENGER,1,2016-06-12,2016,12.0,0
1130,KERICHO,KAPLONG LITEIN,DARAJA SITA,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM,M,9,26.0,PEDESTRIAN,1,2016-06-12,2016,11.0,0
1920,MAKUENI,KANGUNDO NAIROBI,KALAAH KWARE BRIDGE,THE VEHICLE LOST CONTROL AND VEERED OFF THE ROAD,2M & 2F,A,26.0,4 PASSENGER 1 DRIVER,5,2016-06-12,2016,19.0,1
2000,NAIROBI,THIKA,ROOSTERS,THE VEHICLE KNOCKED DOWN THE VICTIM,M,14,98.0,PEDESTRIAN,1,2016-06-12,2016,20.0,0
2140,KISUMU,KATITO KENDU,KUSA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,40,98.0,PEDESTRIAN,1,2016-06-12,2016,21.0,0
2330,NAIROBI,KANGUNDO,BEN ROSE AREA,HEAD ON COLLISION,M,38,10.0,DRIVER,1,2016-06-12,2016,23.0,0
115,BUNGOMA,WEBUYE BUNGOMA,SIKATA AREA,THE VEHICLE LOST CONTROL AND RAMMED INTO THE TRAILER,M,A,7.0,DRIVER,1,2016-06-12,2016,1.0,0
1100,TRANS NZOIA,KITALE-ELDORET,KEPHIS,HEAD ON COLLISION,F,J,26.0,PASSENGER,1,2016-06-11,2016,11.0,0
1300,MOMBASA,MOMBASA-NAIROBI,BANGLA AREA,THE VEHICLE KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD,M,36,10.0,PEDESTRIAN,1,2016-06-11,2016,13.0,0
1250,UASIN GISHU,KERICHO-KISUMU,KAPKAWA,THE VEHICLE LOST CONTROL AND LANDED IN A DITCH,M,40,26.0,DRIVER,1,2016-06-11,2016,12.0,0
1240,EMBU,LAARE-MATUATI,MZALENDO,THE VEHICLE LOST CONTROL AND KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD,F,10,26.0,PEDESTRIAN,1,2016-06-11,2016,12.0,0
400,NYERI,OTHAYA-NYERI,NDUNYO,"THE VEHICLE LOST CONTROL, VEERED OFF THE ROAD AND LANDED IN A DITCH",M,70 & 66,26.0,DRIVER PASSENGER,2,2016-06-11,2016,4.0,0
2020,EMBU,EMBU-MERU,KIVUE,HEAD ON COLLISION,M,A,7.0,MOTOR CYCLIST P/PASSENGER,2,2016-06-11,2016,20.0,0
2040,NAKURU,NAKURU-NAIROBI,NAIVAS,HIT & RAN,M,30,98.0,PEDESTRIAN,1,2016-06-11,2016,20.0,0
1240,KIAMBU,THIKA-GATHIMA,GATUANYAGA,THE TRUN BOY WAS RAN OVER BY THE LORRY WHEN HE TRIED TO ALIGHT FROM IT WHILE MOVING,M,A,59.0,PASSENGER,1,2016-06-11,2016,12.0,0
2330,NAROK,NAROK-BOMET,BOMET,HIT & RAN,M,A,98.0,PEDESTRIAN,1,2016-06-11,2016,23.0,0
730,NYERI,KANGEMA KIRIAI,KANJAMA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,12,16.0,PEDESTRIAN,1,2016-06-10,2016,7.0,1
1215,NAIROBI,JOGOO,NEAR UCHUMI,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,28.0,PEDESTRIAN,1,2016-06-10,2016,12.0,0
930,NAKURU,LANET NDUNDURI,NEAR NDUNDURI CENTRE,THE CYCLE LOST CONTROL AND THE VICTIM JUMPED AND WAS OVER RAN BY THE VEHICLE,M,A,71.0,P/PASSENGER,1,2016-06-10,2016,9.0,1
1200,EMBU,EMBU MERU,GATUNDURI,HEAD ON COLLISION,M,A,39.0,M/CYCLIST,1,2016-06-10,2016,12.0,0
1730,NAIROBI,THIKA SUPERHIGHWAY,NEAR NGARA FOOT BRIDGE,THE VEHICLE GOT A TYRE BURST LOST CONTROL AND HIT THE PAVEMENT,M,27,79.0,DRIVER,1,2016-06-10,2016,17.0,1
2330,KWALE,UKUNDA LIKONI,KING BRIDGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,40,26.0,P/CYCLIST,1,2016-06-10,2016,23.0,0
2100,NAKURU,NAROK MAIMAHIU,SETLITE AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,54,60.0,PEDESTRIAN,1,2016-06-10,2016,21.0,0
230,MURANGA,SAGANA MAKUTANO,SUICITI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,38,10.0,M/CYCLIST,1,2016-06-10,2016,2.0,0
300,MOMBASA,LINKS ROAD,NEAR KENOL,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,26.0,M/CYCLIST,1,2016-06-10,2016,3.0,0
930,KIAMBU,KIMUNYE KUTUS ROAD,KARIA,THE VEHICLE LOST CONTROL AND SWERVED HITTING A TREE,M,40,26.0,DRIVER,1,2016-06-09,2016,9.0,1
950,BUSIA,BUSIA KISUMU ROAD,BUSIA TOWNSHIP,THE CYCLE LOST CONTROL AND FELL ON THE TARMAC AND WAS OVER RAN BY THE VEHICLE,M,35,26.0,M/CYCLIST,1,2016-06-09,2016,9.0,1
2025,MACHAKOS,MACHAKOS KITUI RD,KYUA,THE VEHICLE FAILED TO KEEP TO THE NEAR SIDE OF THE ROAD AND LOST CONTROL OF THE VEHICLE,M,A,8.0,PASSENGER,4,2016-06-09,2016,20.0,0
