id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,dominant_cause,dominant_cause_name
72.0,Taraba,Q1 2021,31,0,3,1,0,0,0,3,21,0,1,3,22,0,0,0,19,SPV,Speed Violation
73.0,Yobe,Q1 2021,28,0,5,1,0,1,0,6,7,1,1,1,0,0,0,0,0,SPV,Speed Violation
74.0,Zamfara,Q1 2021,29,0,2,0,0,0,1,6,2,0,5,0,1,0,0,0,1,SPV,Speed Violation
75.0,Abia,Q2 2021,20,0,1,1,1,1,0,0,3,0,4,0,0,0,0,0,0,SPV,Speed Violation
76.0,Adamawa,Q2 2021,70,0,3,3,0,0,0,11,1,0,3,14,0,0,0,0,2,SPV,Speed Violation
77.0,Akwa Ibom,Q2 2021,10,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,SPV,Speed Violation
78.0,Anambra,Q2 2021,37,0,2,4,38,0,0,6,1,0,6,0,1,0,0,0,5,BFL,Brake Failure
79.0,Bauchi,Q2 2021,55,0,8,5,0,2,0,17,7,0,5,5,1,0,0,0,7,SPV,Speed Violation
80.0,Bayelsa,Q2 2021,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,SPV,Speed Violation
81.0,Benue,Q2 2021,63,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,SPV,Speed Violation
82.0,Borno,Q2 2021,7,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,7,SPV,Speed Violation
83.0,Cross River,Q2 2021,17,1,2,1,5,0,0,4,1,0,0,1,0,0,0,0,1,SPV,Speed Violation
84.0,Delta,Q2 2021,46,0,6,1,5,0,0,3,0,0,0,0,0,0,0,0,10,SPV,Speed Violation
85.0,Ebonyi,Q2 2021,20,0,6,0,0,0,0,4,0,0,1,0,0,0,0,0,2,SPV,Speed Violation
86.0,Edo,Q2 2021,61,0,3,2,4,0,0,9,1,0,1,0,0,0,0,0,0,SPV,Speed Violation
87.0,Ekiti,Q2 2021,39,0,2,0,1,1,0,1,4,1,0,1,0,0,0,0,10,SPV,Speed Violation
88.0,Enugu,Q2 2021,8,0,9,2,4,1,0,9,4,0,2,0,0,0,0,0,39,SLV,Other
89.0,Fct,Q2 2021,135,0,10,4,6,0,0,1,22,0,15,9,0,2,0,0,144,SLV,Other
90.0,Gombe,Q2 2021,40,0,1,0,2,6,0,3,26,0,5,3,0,0,0,0,21,SPV,Speed Violation
91.0,Imo,Q2 2021,6,0,5,0,3,0,0,1,3,0,2,1,0,0,0,0,3,SPV,Speed Violation
92.0,Jigawa,Q2 2021,74,0,12,1,0,7,1,6,0,0,6,9,0,0,0,1,2,SPV,Speed Violation
93.0,Kaduna,Q2 2021,179,0,21,1,3,4,1,31,12,2,4,8,0,0,0,5,19,SPV,Speed Violation
94.0,Kano,Q2 2021,56,0,3,1,1,0,3,7,6,1,1,2,0,0,0,0,0,SPV,Speed Violation
95.0,Katsina,Q2 2021,40,0,2,0,0,0,0,2,8,3,0,0,0,0,0,0,3,SPV,Speed Violation
96.0,Kebbi,Q2 2021,41,0,0,0,0,1,0,4,1,0,4,0,0,1,0,0,2,SPV,Speed Violation
